Count,SL.,SP.,NSP.,NE.,SM.,FR.,OF.,RES.,IR.,PH.,RP.,GS.,FG.,OG.,sub_no,clusters,,,
108,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
28,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
47,1,0,0,1,0,0,0,1,0,0,0,1,0,0,4,SL.GS.NE.RES.,,,
248,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
50,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
379,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
78,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
193,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4,SL.GS.SM.IR.,,,
29,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
70,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,SL.GS.SM.PH.,,,
43,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
72,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,SL.GS.SM.PH.,,,
21,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
23,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,SP.FG.SM.PH.,,,
13,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,SP.FG.NE.PH.,,,
243,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,SP.GS.NE.IR.,,,
38,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4,SP.FG.NE.IR.,,,
72,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,SP.GS.NE.PH.,,,
19,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,SP.FG.NE.PH.,,,
260,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,SP.FG.SM.PH.,,,
76,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
13,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,SP.GS.NE.PH.,,,
28,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,SP.FG.NE.PH.,,,
145,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,SP.GS.NE.PH.,,,
118,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,SP.GS.NE.PH.,,,
17,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
35,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,SP.FG.SM.PH.,,,
1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
95,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,SL.GS.SM.PH.,,,
47,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
146,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,SL.GS.SM.PH.,,,
17,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
10,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
35,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
41,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
18,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,SP.FG.SM.PH.,,,
2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
30,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,SL.GS.SM.PH.,,,
21,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
107,1,0,0,1,0,0,0,0,1,0,0,0,1,0,4,SL.FG.NE.IR.,,,
39,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
45,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,SL.FG.NE.RES.,,,
20,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
20,0,0,1,1,0,0,0,0,0,1,0,1,0,0,4,NSP.GS.NE.PH.,,,
60,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,SP.GS.NE.PH.,,,
27,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4,SP.FG.NE.IR.,,,
131,0,1,0,1,0,0,0,1,0,0,0,1,0,0,4,SP.GS.NE.RES.,,,
14,0,1,0,1,0,0,0,0,0,1,0,0,1,0,5,SP.FG.NE.PH.,,,
7,1,0,0,1,0,0,0,0,0,1,0,0,1,0,5,SL.FG.NE.PH.,,,
53,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,SL.GS.NE.PH.,,,
11,1,0,0,1,0,0,0,0,0,1,0,0,1,0,5,SL.FG.NE.PH.,,,
19,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,SL.GS.NE.PH.,,,
21,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,SP.GS.NE.PH.,,,
32,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,SP.GS.SM.PH.,,,
8,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,SP.GS.NE.PH.,,,
77,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,SL.GS.NE.PH.,,,
12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,5,SL.FG.NE.PH.,,,
17,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,SL.GS.NE.PH.,,,
41,1,0,0,1,0,0,0,0,0,1,0,1,0,0,5,SL.GS.NE.PH.,,,
